PIS1.started,PIS1.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,,date,expName,psychopyVersion,OS,frameRate,PIS2.started,PIS2.stopped,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.time,PIS3.started,PIS3.stopped,mouse_19.x,mouse_19.y,mouse_19.leftButton,mouse_19.midButton,mouse_19.rightButton,mouse_19.time,Consent.started,Consent.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instructions_2.started,Instructions_2.stopped,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.time,Instruction_Animation.started,Instruction_Animation.stopped,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.time,Line0.started,Line0.stopped,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,Halo_01.started,Halo_01.stopped,mouse_16.x,mouse_16.y,mouse_16.leftButton,mouse_16.midButton,mouse_16.rightButton,mouse_16.time,Halo_02.started,Halo_02.stopped,mouse_17.x,mouse_17.y,mouse_17.leftButton,mouse_17.midButton,mouse_17.rightButton,mouse_17.time,Halo_03.started,Halo_03.stopped,mouse_18.x,mouse_18.y,mouse_18.leftButton,mouse_18.midButton,mouse_18.rightButton,mouse_18.time,Instructions2.started,Instructions2.stopped,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.time,Rotation.started,Rotation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Line.started,Line.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Halo_1.started,Halo_1.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Halo_2.started,Halo_2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Halo_3.started,Halo_3.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Pract.thisRepN,Pract.thisTrialN,Pract.thisN,Pract.thisIndex,Pract.ran,v,l,s,q,c,Start.started,Start.stopped,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.time,Mask.started,Mask.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Debrief.started,Debrief.stopped,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,mouse_14.time
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.315,47.197,[],[],[],[],[],[],50.053,50.429,-0.007777778,0.008888889,1,0,0,0.37,50.429,50.727,-0.007777778,0.007777778,1,0,0,0.293,50.727,50.895,-0.007777778,0.007777778,1,0,0,0.162,50.896,51.097,-0.007777778,0.007777778,1,0,0,0.196,,,,,,99,0,1,4,6,,,,,,,,,48.132,50.053,[],[],[],[],[],[],0,5,5,3,1,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.099,52.98,[],[],[],[],[],[],55.434,55.764,-0.008888889,0.006666667,1,0,0,0.324,55.764,55.979,-0.008888889,0.006666667,1,0,0,0.211,55.98,56.196,-0.008888889,0.006666667,1,0,0,0.212,56.197,56.397,-0.008888889,0.006666667,1,0,0,0.196,,,,,,3,0,2,3,6,,,,,,,,,53.764,55.433,[],[],[],[],[],[],1,0,6,1,1,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.399,58.28,[],[],[],[],[],[],60.949,61.246,-0.008888889,0.005555556,1,0,0,0.292,61.246,61.513,-0.008888889,0.005555556,1,0,0,0.261,61.513,61.797,-0.008888889,0.005555556,1,0,0,0.279,61.797,62.012,-0.008888889,0.005555556,1,0,0,0.211,,,,,,99,0,4,3,6,,,,,,,,,59.181,60.948,[],[],[],[],[],[],1,1,7,0,1,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.015,64.164,[],[],[],[],[],[],67.762,68.314,-0.008888889,0.01,1,0,0,0.546,68.314,68.597,-0.008888889,0.01,1,0,0,0.278,68.597,68.879,-0.008888889,0.01,1,0,0,0.278,68.88,69.162,-0.008888889,0.01,1,0,0,0.278,,,,,,99,0,5,3,15,,,,,,,,,64.916,67.761,[],[],[],[],[],[],1,2,8,2,1,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.165,71.047,[],[],[],[],[],[],73.817,74.166,-0.008888889,0.017777778,1,0,0,0.344,74.166,74.395,-0.008888889,0.017777778,1,0,0,0.222,74.395,74.63,-0.008888889,0.017777778,1,0,0,0.229,74.63,74.863,-0.008888889,0.017777778,1,0,0,0.228,,,,,,99,0,1,2,6,,,,,,,,,71.964,73.816,[],[],[],[],[],[],1,3,9,4,1,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.865,76.731,[],[],[],[],[],[],79.548,79.929,-0.008888889,0.015555556,1,0,0,0.376,79.93,80.145,-0.008888889,0.015555556,1,0,0,0.212,80.146,80.38,-0.008888889,0.015555556,1,0,0,0.229,80.38,80.579,-0.008888889,0.015555556,1,0,0,0.195,,,,,,99,0,1,4,6,,,,,,,,,77.747,79.547,[],[],[],[],[],[],1,4,10,3,1,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.582,82.464,[],[],[],[],[],[],85.265,85.68,-0.008888889,0.015555556,1,0,0,0.409,85.681,85.896,-0.008888889,0.015555556,1,0,0,0.211,85.896,86.113,-0.008888889,0.015555556,1,0,0,0.213,86.113,86.329,-0.008888889,0.015555556,1,0,0,0.211,,,,,,99,1,6,3,6,,,,,,,,,83.464,85.265,[],[],[],[],[],[],1,5,11,5,1,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.332,88.213,[],[],[],[],[],[],90.866,91.212,-0.01,0.012222222,1,0,0,0.342,91.213,91.447,-0.01,0.011111111,1,0,0,0.229,91.447,91.678,-0.01,0.011111111,1,0,0,0.227,91.68,91.861,-0.01,0.011111111,1,0,0,0.177,,,,,,3,0,2,3,6,,,,,,,,,89.182,90.865,[],[],[],[],[],[],2,0,12,1,1,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.865,93.747,[],[],[],[],[],[],96.349,96.696,-0.011111111,0.017777778,1,0,0,0.341,96.696,96.962,-0.011111111,0.017777778,1,0,0,0.261,96.962,97.228,-0.011111111,0.017777778,1,0,0,0.261,97.229,97.478,-0.011111111,0.017777778,1,0,0,0.245,,,,,,99,0,1,4,6,,,,,,,,,94.598,96.349,[],[],[],[],[],[],2,1,13,3,1,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.481,99.363,[],[],[],[],[],[],102.024,102.363,-0.012222222,0.018888889,1,0,0,0.332,102.363,102.578,-0.012222222,0.018888889,1,0,0,0.211,102.579,102.795,-0.012222222,0.018888889,1,0,0,0.211,102.796,103.013,-0.012222222,0.018888889,1,0,0,0.212,,,,,,99,0,1,2,6,,,,,,,,,100.247,102.016,[],[],[],[],[],[],2,2,14,4,1,,,,,,,,,,,,,
